Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
curtainDrapesFullTileBlue,blocks,Block,,,,"Blue Drapes, Full Tile",,,"Cortinas azules, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileBrown,blocks,Block,,,,"Brown Drapes, Full Tile",,,"Cortinas marrones, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Full Tile",,,"Cortinas negras sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Full Tile",,,"Cortinas azules sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Full Tile",,,"Cortinas marrones sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Full Tile",,,"Cortinas verdes sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Full Tile",,,"Cortinas grises sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Full Tile",,,"Cortinas naranjas sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Full Tile",,,"Cortinas rosas sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Full Tile",,,"Cortinas violetas sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Full Tile",,,"Cortinas rojas sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Full Tile",,,"Cortinas blancas sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Full Tile",,,"Cortinas amarillas sucias, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileGreen,blocks,Block,,,,"Green Drapes, Full Tile",,,"Cortinas verdes, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileGrey,blocks,Block,,,,"Grey Drapes, Full Tile",,,"Cortinas grises, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileOrange,blocks,Block,,,,"Orange Drapes, Full Tile",,,"Cortinas naranjas, revestimiento completo",,,,,,,,,,
curtainDrapesFullTilePink,blocks,Block,,,,"Pink Drapes, Full Tile",,,"Cortinas rosas, revestimiento completo",,,,,,,,,,
curtainDrapesFullTilePurple,blocks,Block,,,,"Purple Drapes, Full Tile",,,"Cortinas violetas, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileRed,blocks,Block,,,,"Red Drapes, Full Tile",,,"Cortinas rojas, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileWhite,blocks,Block,,,,"White Drapes, Full Tile",,,"Cortinas blancas, revestimiento completo",,,,,,,,,,
curtainDrapesFullTileYellow,blocks,Block,,,,"Yellow Drapes, Full Tile",,,"Cortinas amarillas, revestimiento completo",,,,,,,,,,
curtainDrapesFullTopBlack,blocks,Block,,,,"Black Drapes, Full Top",,,"Cortinas negras, parte superior completa",,,,,,,,,,
curtainDrapesFullTopBlue,blocks,Block,,,,"Blue Drapes, Full Top",,,"Cortinas azules, parte superior completa",,,,,,,,,,
curtainDrapesFullTopBrown,blocks,Block,,,,"Brown Drapes, Full Top",,,"Cortinas marrones, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Full Top",,,"Cortinas negras sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Full Top",,,"Cortinas azules sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Full Top",,,"Cortinas marrones sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Full Top",,,"Cortinas verdes sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Full Top",,,"Cortinas grises sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Full Top",,,"Cortinas naranjas sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Full Top",,,"Cortinas rosas sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Full Top",,,"Cortinas violetas sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Full Top",,,"Cortinas rojas sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Full Top",,,"Cortinas blancas sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Full Top",,,"Cortinas amarillas sucias, parte superior completa",,,,,,,,,,
curtainDrapesFullTopGreen,blocks,Block,,,,"Green Drapes, Full Top",,,"Cortinas verdes, parte superior completa",,,,,,,,,,
curtainDrapesFullTopGrey,blocks,Block,,,,"Grey Drapes, Full Top",,,"Cortinas grises, parte superior completa",,,,,,,,,,
curtainDrapesFullTopOrange,blocks,Block,,,,"Orange Drapes, Full Top",,,"Cortinas naranjas, parte superior completa",,,,,,,,,,
curtainDrapesFullTopPink,blocks,Block,,,,"Pink Drapes, Full Top",,,"Cortinas rosas, parte superior completa",,,,,,,,,,
curtainDrapesFullTopPurple,blocks,Block,,,,"Purple Drapes, Full Top",,,"Cortinas violetas, parte superior completa",,,,,,,,,,
curtainDrapesFullTopRed,blocks,Block,,,,"Red Drapes, Full Top",,,"Cortinas rojas, parte superior completa",,,,,,,,,,
curtainDrapesFullTopWhite,blocks,Block,,,,"White Drapes, Full Top",,,"Cortinas blancas, parte superior completa",,,,,,,,,,
curtainDrapesFullTopYellow,blocks,Block,,,,"Yellow Drapes, Full Top",,,"Cortinas amarillas, parte superior completa",,,,,,,,,,
curtainDrapesLeftHalfBottomBlack,blocks,Block,,,,"Black Drapes, Left Half Bottom",,,"Cortinas negras, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomBlue,blocks,Block,,,,"Blue Drapes, Left Half Bottom",,,"Cortinas azules, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomBrown,blocks,Block,,,,"Brown Drapes, Left Half Bottom",,,"Cortinas marrones, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Left Half Bottom",,,"Cortinas negras sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Left Half Bottom",,,"Cortinas azules sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Left Half Bottom",,,"Cortinas marrones sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Left Half Bottom",,,"Cortinas verdes sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Left Half Bottom",,,"Cortinas grises sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Left Half Bottom",,,"Cortinas naranjas sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Left Half Bottom",,,"Cortinas rosas sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Left Half Bottom",,,"Cortinas violetas sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Left Half Bottom",,,"Cortinas rojas sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Left Half Bottom",,,"Cortinas blancas sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Left Half Bottom",,,"Cortinas amarillas sucias, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomGreen,blocks,Block,,,,"Green Drapes, Left Half Bottom",,,"Cortinas verdes, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomGrey,blocks,Block,,,,"Grey Drapes, Left Half Bottom",,,"Cortinas grises, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomOrange,blocks,Block,,,,"Orange Drapes, Left Half Bottom",,,"Cortinas naranjas, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomPink,blocks,Block,,,,"Pink Drapes, Left Half Bottom",,,"Cortinas rosas, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomPurple,blocks,Block,,,,"Purple Drapes, Left Half Bottom",,,"Cortinas violetas, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomRed,blocks,Block,,,,"Red Drapes, Left Half Bottom",,,"Cortinas rojas, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomWhite,blocks,Block,,,,"White Drapes, Left Half Bottom",,,"Cortinas blancas, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfBottomYellow,blocks,Block,,,,"Yellow Drapes, Left Half Bottom",,,"Cortinas amarillas, parte inferior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTileBlack,blocks,Block,,,,"Black Drapes, Left Half Tile",,,"Cortinas negras, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileBlue,blocks,Block,,,,"Blue Drapes, Left Half Tile",,,"Cortinas azules, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileBrown,blocks,Block,,,,"Brown Drapes, Left Half Tile",,,"Cortinas marrones, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Left Half Tile",,,"Cortinas negras sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Left Half Tile",,,"Cortinas azules sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Left Half Tile",,,"Cortinas marrones sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Left Half Tile",,,"Cortinas verdes sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Left Half Tile",,,"Cortinas grises sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Left Half Tile",,,"Cortinas naranjas sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Left Half Tile",,,"Cortinas blancas sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Left Half Tile",,,"Cortinas violetas sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Left Half Tile",,,"Cortinas rojas sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Left Half Tile",,,"Cortinas blancas sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Left Half Tile",,,"Cortinas amarillas sucias, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileGreen,blocks,Block,,,,"Green Drapes, Left Half Tile",,,"Cortinas verdes, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileGrey,blocks,Block,,,,"Grey Drapes, Left Half Tile",,,"Cortinas grises, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileOrange,blocks,Block,,,,"Orange Drapes, Left Half Tile",,,"Cortinas naranjas, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTilePink,blocks,Block,,,,"Pink Drapes, Left Half Tile",,,"Cortinas rosas, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTilePurple,blocks,Block,,,,"Purple Drapes, Left Half Tile",,,"Cortinas violetas, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileRed,blocks,Block,,,,"Red Drapes, Left Half Tile",,,"Cortinas rojas, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileWhite,blocks,Block,,,,"White Drapes, Left Half Tile",,,"Cortinas blancas, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTileYellow,blocks,Block,,,,"Yellow Drapes, Left Half Tile",,,"Cortinas amarillas, revestimiento izquierdo",,,,,,,,,,
curtainDrapesLeftHalfTopBlack,blocks,Block,,,,"Black Drapes, Left Half Top",,,"Cortinas negras, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopBlue,blocks,Block,,,,"Blue Drapes, Left Half Top",,,"Cortinas azules, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopBrown,blocks,Block,,,,"Brown Drapes, Left Half Top",,,"Cortinas marrones, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Left Half Top",,,"Cortinas negras sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Left Half Top",,,"Cortinas azules sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Left Half Top",,,"Cortinas marrones sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Left Half Top",,,"Cortinas verdes sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Left Half Top",,,"Cortinas grises sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Left Half Top",,,"Cortinas naranjas sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Left Half Top",,,"Cortinas rosas sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Left Half Top",,,"Cortinas violetas sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Left Half Top",,,"Cortinas rojas sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Left Half Top",,,"Cortinas blancas sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Left Half Top",,,"Cortinas amarillas sucias, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopGreen,blocks,Block,,,,"Green Drapes, Left Half Top",,,"Cortinas verdes, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopGrey,blocks,Block,,,,"Grey Drapes, Left Half Top",,,"Cortinas grises, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopOrange,blocks,Block,,,,"Orange Drapes, Left Half Top",,,"Cortinas naranjas, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopPink,blocks,Block,,,,"Pink Drapes, Left Half Top",,,"Cortinas rosas, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopPurple,blocks,Block,,,,"Purple Drapes, Left Half Top",,,"Cortinas violetas, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopRed,blocks,Block,,,,"Red Drapes, Left Half Top",,,"Cortinas rojas, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopWhite,blocks,Block,,,,"White Drapes, Left Half Top",,,"Cortinas blancas, parte superior izquierda",,,,,,,,,,
curtainDrapesLeftHalfTopYellow,blocks,Block,,,,"Yellow Drapes, Left Half Top",,,"Cortinas amarillas, parte superior izquierda",,,,,,,,,,
curtainDrapesRightHalfBottomBlack,blocks,Block,,,,"Black Drapes, Right Half Bottom",,,"Cortinas negras, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomBlue,blocks,Block,,,,"Blue Drapes, Right Half Bottom",,,"Cortinas azules, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomBrown,blocks,Block,,,,"Brown Drapes, Right Half Bottom",,,"Cortinas marrones, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Right Half Bottom",,,"Cortinas negras sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Right Half Bottom",,,"Cortinas azules sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Right Half Bottom",,,"Cortinas marrones sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Right Half Bottom",,,"Cortinas verdes sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Right Half Bottom",,,"Cortinas grises sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Right Half Bottom",,,"Cortinas naranjas sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Right Half Bottom",,,"Cortinas rosas sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Right Half Bottom",,,"Cortinas violetas sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Right Half Bottom",,,"Cortinas rojas sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Right Half Bottom",,,"Cortinas blancas sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Right Half Bottom",,,"Cortinas amarillas sucias, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomGreen,blocks,Block,,,,"Green Drapes, Right Half Bottom",,,"Cortinas verdes, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomGrey,blocks,Block,,,,"Grey Drapes, Right Half Bottom",,,"Cortinas grises, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomOrange,blocks,Block,,,,"Orange Drapes, Right Half Bottom",,,"Cortinas naranjas, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomPink,blocks,Block,,,,"Pink Drapes, Right Half Bottom",,,"Cortinas rosas, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomPurple,blocks,Block,,,,"Purple Drapes, Right Half Bottom",,,"Cortinas violetas, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomRed,blocks,Block,,,,"Red Drapes, Right Half Bottom",,,"Cortinas rojas, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomWhite,blocks,Block,,,,"White Drapes, Right Half Bottom",,,"Cortinas blancas, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfBottomYellow,blocks,Block,,,,"Yellow Drapes, Right Half Bottom",,,"Cortinas amarillas, parte inferior derecha",,,,,,,,,,
curtainDrapesRightHalfTileBlack,blocks,Block,,,,"Black Drapes, Right Half Tile",,,"Cortinas negras, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileBlue,blocks,Block,,,,"Blue Drapes, Right Half Tile",,,"Cortinas azules, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileBrown,blocks,Block,,,,"Brown Drapes, Right Half Tile",,,"Cortinas marrones, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Right Half Tile",,,"Cortinas negras sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Right Half Tile",,,"Cortinas azules sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Right Half Tile",,,"Cortinas marrones sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Right Half Tile",,,"Cortinas verdes sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Right Half Tile",,,"Cortinas grises sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Right Half Tile",,,"Cortinas naranjas sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Right Half Tile",,,"Cortinas rosas sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Right Half Tile",,,"Cortinas violetas sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Right Half Tile",,,"Cortinas rojas sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Right Half Tile",,,"Cortinas blancas sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Right Half Tile",,,"Cortinas amarillas sucias, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileGreen,blocks,Block,,,,"Green Drapes, Right Half Tile",,,"Cortinas verdes, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileGrey,blocks,Block,,,,"Grey Drapes, Right Half Tile",,,"Cortinas grises, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileOrange,blocks,Block,,,,"Orange Drapes, Right Half Tile",,,"Cortinas naranjas, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTilePink,blocks,Block,,,,"Pink Drapes, Right Half Tile",,,"Cortinas rosas, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTilePurple,blocks,Block,,,,"Purple Drapes, Right Half Tile",,,"Cortinas violetas, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileRed,blocks,Block,,,,"Red Drapes, Right Half Tile",,,"Cortinas rojas, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileWhite,blocks,Block,,,,"White Drapes, Right Half Tile",,,"Cortinas blancas, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTileYellow,blocks,Block,,,,"Yellow Drapes, Right Half Tile",,,"Cortinas amarillas, revestimiento derecho",,,,,,,,,,
curtainDrapesRightHalfTopBlack,blocks,Block,,,,"Black Drapes, Right Half Top",,,"Cortinas negras, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopBlue,blocks,Block,,,,"Blue Drapes, Right Half Top",,,"Cortinas azules, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopBrown,blocks,Block,,,,"Brown Drapes, Right Half Top",,,"Cortinas marrones, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyBlack,blocks,Block,,,,"Black Dirty Drapes, Right Half Top",,,"Cortinas negras sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyBlue,blocks,Block,,,,"Blue Dirty Drapes, Right Half Top",,,"Cortinas azules sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyBrown,blocks,Block,,,,"Brown Dirty Drapes, Right Half Top",,,"Cortinas marrones sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyGreen,blocks,Block,,,,"Green Dirty Drapes, Right Half Top",,,"Cortinas verdes sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyGrey,blocks,Block,,,,"Grey Dirty Drapes, Right Half Top",,,"Cortinas grises sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyOrange,blocks,Block,,,,"Orange Dirty Drapes, Right Half Top",,,"Cortinas naranjas sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyPink,blocks,Block,,,,"Pink Dirty Drapes, Right Half Top",,,"Cortinas rosas sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyPurple,blocks,Block,,,,"Purple Dirty Drapes, Right Half Top",,,"Cortinas violetas sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyRed,blocks,Block,,,,"Red Dirty Drapes, Right Half Top",,,"Cortinas rojas sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyWhite,blocks,Block,,,,"White Dirty Drapes, Right Half Top",,,"Cortinas blancas sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopDirtyYellow,blocks,Block,,,,"Yellow Dirty Drapes, Right Half Top",,,"Cortinas amarillas sucias, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopGreen,blocks,Block,,,,"Green Drapes, Right Half Top",,,"Cortinas verdes, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopGrey,blocks,Block,,,,"Grey Drapes, Right Half Top",,,"Cortinas grises, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopOrange,blocks,Block,,,,"Orange Drapes, Right Half Top",,,"Cortinas naranjas, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopPink,blocks,Block,,,,"Pink Drapes, Right Half Top",,,"Cortinas rosas, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopPurple,blocks,Block,,,,"Purple Drapes, Right Half Top",,,"Cortinas violetas, parte superior derecha",,,,,,,,,,
curtainDrapesRightHalfTopRed,blocks,Block,,,,"Red Drapes, Right Half Top",,,"Cortinas rojas, parte superior derecha",,,,,,,,,,
